N Nodes,Vertices,Edges,Attemps,Operations,Time
5,5,1,2,1,0.0000
5,5,2,10,3,0.0010
5,5,5,22,6,0.0000
5,5,7,242,9,0.0000
6,6,1,2,1,0.0000
6,6,3,2,1,0.0000
6,6,7,246,9,0.0000
6,6,11,2922,26,0.0010
7,7,2,2,1,0.0000
7,7,5,22,6,0.0010
7,7,10,2088,21,0.0010
7,7,15,22570,122,0.0060
8,8,3,838,7,0.0000
8,8,7,236,9,0.0000
8,8,14,16032,92,0.0050
8,8,21,45868,235,0.0151
9,9,4,36,5,0.0010
9,9,9,14136,62,0.0030
9,9,18,81540,294,0.0231
9,9,27,107960,462,0.0712
10,10,5,28,5,0.0000
10,10,11,292,13,0.0000
10,10,22,409698,1145,0.1244
10,10,33,1914708,5000,2.7247
11,11,6,1064,12,0.0010
11,11,13,30360,126,0.0080
11,11,27,1314824,3368,1.1932
11,11,41,1847116,5000,2.8854
12,12,8,52,9,0.0010
12,12,16,42338,179,0.0130
12,12,33,1913778,5000,2.6535
12,12,49,1774796,5000,5.2575
13,13,9,3112,25,0.0010
13,13,19,472756,1223,0.1385
13,13,39,1863560,5000,2.6311
13,13,58,1677752,5000,7.3528
14,14,11,81598,236,0.0191
14,14,22,924892,2196,0.5309
14,14,45,1812898,5000,4.5663
14,14,68,1554334,5000,8.3654
15,15,13,245852,563,0.0602
15,15,26,1507872,3564,1.4912
15,15,52,1744214,5000,4.8449
15,15,78,1409132,5000,10.5344
16,16,15,456448,985,0.1134
16,16,30,2046792,5000,2.0330
16,16,60,1654482,5000,6.7124
16,16,90,1212116,5000,8.1889
17,17,17,2083378,3613,0.9052
17,17,34,1906154,5000,2.6965
17,17,68,1552916,5000,8.4866
17,17,102,1021342,5000,1.6318
18,18,19,2779934,5000,1.7952
18,18,38,1871954,5000,2.4917
18,18,76,1440580,5000,9.5244
18,18,114,1005878,5000,2.0001
19,19,21,2671204,5000,2.7887
19,19,42,1838690,5000,4.0801
19,19,85,1296196,5000,9.5364
19,19,128,999820,5000,2.5951
20,20,23,2567230,5000,2.3381
20,20,47,1793910,5000,4.2017
20,20,95,1122260,5000,5.1721
20,20,142,995660,5000,3.2081
21,21,26,2375122,5000,3.4640
21,21,52,1744124,5000,4.9613
21,21,105,1014676,5000,2.5923
21,21,157,992102,5000,3.6688
22,22,28,2223298,5000,3.2214
22,22,57,1690472,5000,6.0591
22,22,115,1005114,5000,2.8892
22,22,173,988204,5000,5.0698
23,23,31,1954790,5000,1.4942
23,23,63,1618340,5000,7.5382
23,23,126,1000646,5000,2.5499
23,23,189,984450,5000,5.8224
24,24,34,1905200,5000,2.7005
24,24,69,1540258,5000,8.9542
24,24,138,997070,5000,3.7329
24,24,207,980720,5000,6.0863
25,25,37,1880314,5000,2.4063
25,25,75,1454204,5000,10.2777
25,25,150,993416,5000,4.2649
25,25,225,976934,5000,7.4403
26,26,40,1856806,5000,3.7169
26,26,81,1361870,5000,10.3884
26,26,162,990736,5000,4.0906
26,26,243,973106,5000,8.0842
27,27,43,1829816,5000,3.3506
27,27,87,1264842,5000,10.0653
27,27,175,987424,5000,5.2464
27,27,263,968932,5000,10.3255
28,28,47,1793500,5000,4.2738
28,28,94,1139858,5000,5.8049
28,28,189,984584,5000,5.8767
28,28,283,965732,5000,12.0688
29,29,50,1765332,5000,5.6687
29,29,101,1026142,5000,1.7110
29,29,203,981514,5000,6.0299
29,29,304,960910,5000,12.6543
30,30,54,1722724,5000,5.5557
30,30,108,1011150,5000,2.6282
30,30,217,978454,5000,7.2373
30,30,326,957068,5000,15.0936
31,31,58,1677966,5000,7.4474
31,31,116,1005342,5000,2.9503
31,31,232,975552,5000,7.7080
31,31,348,952362,5000,17.6417
32,32,62,1630918,5000,7.1982
32,32,124,1001492,5000,2.4858
32,32,248,972488,5000,8.8861
32,32,372,947942,5000,20.0180
33,33,66,1580588,5000,8.1575
33,33,132,998578,5000,2.9886
33,33,264,969098,5000,10.2080
33,33,396,942458,5000,23.0598
34,34,70,1527332,5000,9.5377
34,34,140,996152,5000,3.8709
34,34,280,965706,5000,11.2607
34,34,420,938496,5000,24.5720
35,35,74,1469036,5000,10.4707
35,35,148,994070,5000,4.2740
35,35,297,962240,5000,12.9444
35,35,446,932902,5000,29.8926
36,36,78,1409550,5000,11.0666
36,36,157,991754,5000,3.9289
36,36,315,959064,5000,14.3166
36,36,472,927820,5000,31.9965
37,37,83,1329406,5000,10.3404
37,37,166,989956,5000,4.9493
37,37,333,955084,5000,16.1289
37,37,499,922000,5000,38.3157
38,38,87,1263468,5000,9.2794
38,38,175,987682,5000,5.2595
38,38,351,951708,5000,18.0050
38,38,527,917058,5000,40.0738
39,39,92,1176714,5000,7.5040
39,39,185,985316,5000,5.2613
39,39,370,947672,5000,19.2493
